== 粵語量詞詞典：動量詞搭配表 ==
量詞	量詞拼音	動詞	動詞拼音	國語
巴	ba1	打	da2	搧一巴掌，打一個耳光
巴	ba1	摑	gwaak8	搧一巴掌，打一個耳光
餐	chaan1	㨘	saang2	訓斥一頓
餐	chaan1	做	jou6	做一番
餐	chaan1	喊	haam3	哭一場
餐	chaan1	嗌	ngaai3	喊叫一番，大叫一番
餐	chaan1	嘈	chou4	吵鬧一場，爭吵一番
餐	chaan1	徇	seun1	臭罵一頓
餐	chaan1	打	da2	打一頓
餐	chaan1	教訓	gaau3 fan3	教訓一頓
餐	chaan1	暴打	bou3 da2	暴打一頓
餐	chaan1	爭	jaang1	爭論一番，爭持一番，爭執一番
餐	chaan1	砌	chai3	揍一頓
餐	chaan1	計	gai3	計較一番
餐	chaan1	諗	nam2	想一番
餐	chaan1	講	gong2	說一番
餐	chaan1	食	sik9	吃一頓飯
餐	chaan1	飲	yam2	喝一頓，喝一場
餐	chaan1	鬥	dau3	鬥爭一番，比賽一番
餐	chaan1	鬧	naau6	罵一頓
籌	chau4	做	jou6	做一次
籌	chau4	讀	duk9	讀一遍
捶	cheui4	打	da2	打一拳
啖	daam6	吐	tou3	吐一口
啖	daam6	吞	tan1	吞一口
啖	daam6	吸	kap7	吸一口
啖	daam6	呷	haap8	喝一口
啖	daam6	呼	fu1	呼一口
啖	daam6	呼吸	fu1 kap7	呼吸一口
啖	daam6	咀	jeui2	親一下
啖	daam6	咬	ngaau5	咬一口
啖	daam6	唞	tau2	歇一口，鬆一口
啖	daam6	嗍	sok8	吸一口
啖	daam6	嘔	ngau2	吐一口，嘔吐一口
啖	daam6	嘴	jeui2	親一口，親一下
啖	daam6	深呼吸	sam1 fu1 kap7	深呼吸一口
啖	daam6	舐	lem2	舔一口
啖	daam6	試	si3	嚐一口
啖	daam6	透	tau2	喘一口，呼吸一口
啖	daam6	錫	sek8	吻一下，親一下
啖	daam6	食	sik9	吃一口
啖	daam6	飲	yam2	喝一口
吓	ha5	睇	tai2	看一下，看看
浸	jam3	搽	cha4	搽了一層
陣	jan6	企	kei5	站一會兒
陣	jan6	失陪	sat7 pui4	失陪一下
陣	jan6	玩	waan2	玩一會兒
陣	jan6	等	dang2	等一會兒
陣	jan6	行開	haang4 hoi1	走開一會兒
陣	jan6	諗	nam2	想一下
陣	jan6	阻	jo2	打擾一下
仗	jeung3	去	heui3	去一趟
仗	jeung3	搵	wan2	找一回
仗	jeung3	睇	tai2	看一次
輪	leun4	㨘	saang2	訓斥一頓
輪	leun4	休息	yau1 sik7	休息幾天，休息一兩天
輪	leun4	喊	haam3	哭一場
輪	leun4	排演	paai4 yin2	排演一次
輪	leun4	摷	jiu6	痛打一頓
輪	leun4	攪	gaau2	弄半天，搞半天，做半天
輪	leun4	行	haang4	逛一圈，跑一趟
輪	leun4	解釋	gaai2 sik7	解釋老半天
輪	leun4	講	gong2	說半天，說老半天
輪	leun4	鬧	naau6	罵一頓
水	seui2	去	heui3	去一個往返
水	seui2	洗	sai2	洗一次
勻	wan4	行	haang4	走一遍，跑一遍
