量詞,拼音,國語,用法
把,ba²,個,聲音（普通話常省略）
把,ba²,張,嘴巴
把,ba²,捆，捆兒,成束的東西
班,baan¹,群，伙,人
筆,bat¹,碼,事情
筆,bat¹,筆,款項、生意等
餅,beng²,盒，捲,專指錄音帶及錄像帶
餅,beng²,萬,塊錢（俗，數詞）
煲,bo¹,鍋,鍋子裡裝的東西
本,boon²,本,書、雜誌等出版物
埲,bung⁶,堵，面,牆
𩗴,bung⁶,股,氣味
篸,chaam²,簸箕，泥箕,裝進簸箕裡的東西
層,chang⁴,步，點,事情、事項
揪,chau¹,串，嘟嚕，袋,成串的東西
場,cheung⁴,場,活動
齣,chut¹,齣，場,戲劇、電影等
秤,ching³,串，掛，袋，嘟嚕,成串的東西
打,da¹,打,指十二個
擔,daam³,挑，擔，挑兒,成挑的東西
啖,daam⁶,口,吃進口裡的東西、吸入的空氣等
單,daan¹,件，樁，起，號,事情
沓,daap⁶,層，座,樓房
沓,daap⁶,疊，摞，迭，沓,多層的東西
笪,daat³,塊，個,地方
底,dai²,塊，大塊，整塊,未切開的整塊糕點
躉,dan²,座，棟,樓房等建築物
兜,dau¹,盆，個，條,""
蔸,dau¹,叢,叢的植株
蔸,dau¹,條,人、魚等
蔸,dau¹,棵,幼小的植物
竇,dau³,窩，家,窩巢、巢穴
頂,deng²,頂,帽子
朵,deuh²,朵,花
對,dui³,雙,成對的東西
滴,dik¹,滴,液體下滴數量
丁,ding¹,個,人
碟,dip²,盤,盤裝物
度,do⁶,扇，道，座,門、橋
渡,do⁶,班,船
篤,duk¹,泡,糞便、口水、痰等
棟,dung³,棟,房屋建築物
戙,dung⁶,摞,重疊放置的或堆在一起的東西
段,duen⁶,段,長條物分成若干部分、具有延續性質事物段落
塊,faai³,個,臉、面（普通話常省略）
番,faan¹,番,種、樣、種類
份,fan⁶,份,定量事物或整體中的一部分
份,fan⁶,為人,人的品性、品質、性格等
忽,fat¹,塊，小塊,唿
伙,foh²,戶，家,住戶
火,foh²,燭，支光,燈泡
夫,foo¹,塊,土地
副,foo³,台，套,設備、機器等
幅,fuk¹,片，塊,地產
架,ga³,輛，台，部,車輛等
屆,gaai³,屆,定期舉行的會議或活動、具有某種身分或擔任某種職務期間
間,gaan¹,所，棟，家，間，座,房屋等建築物
嚿,gau⁶,塊，團,成塊、成團的東西
嚿,gau⁶,百元，百塊,錢
件,gin⁶,件,衣服、事情等
件,gin⁶,塊,點心、餅乾等
個,goh³,塊，塊錢，元,錢
個,goh³,面，塊，把、座、個,心、井、鐘、錶、鏡子、鎚仔等
個,goh³,（常省略）,心
橛,guet⁶,截，段,分成數段的物品
坎,ham²,門,炮
口,hau²,根，個，枚,煙、爆竹等
殼,hok³,瓢，勺，舀子，勺子,勺子容裝物
拃,ja⁶,把,手所能盈握數量
紮,jaat³,束，捆，綁，包紮,捆在一起的東西
浸,jam³,層,""
朕,jam⁶,股，陣,氣味或風
執,jap¹,撮，把,成叢的毛髮或野草等、手所能盈握數量
隻,jek³,隻，個，頭，種，首，支,動物、人、歌、故事、單一物品等
樽,jun¹,瓶,""
張,jeung¹,塊,指塊錢
張,jeung¹,張,某些可張開的東西、平面物品、傢俱等
張,jeung¹,把,刀
支,ji¹,面，根，瓶,瓶裝飲料、筒裝物品、旗幟等
座,joh⁶,座，棟，幢，所,樓房、房屋等建築物
造,jo⁶,茬,同一塊地上，作物種植或生長的次數
磚,juen¹,塊,""
卡,ka¹,節,車皮、車廂
楷,kaai²,瓣，瓣兒,柑桔瓣兒
藭,kung¹,嘟嚕，包,果子、成穗的糧食等、玉米的一包
纊掕,kwang³ lang³,串，嘟嚕,大小不一的串
㨆,lam⁶,摞，摞子,堆砌的東西
掕,lang³,串，嘟嚕,數目眾多的一堆東西
粒,lap¹,個,小時，鐘頭
粒,lap¹,顆，粒,顆粒狀的東西、圓形的東西
輪,lun⁴,張,嘴
輪,lun⁴,次，頓,""
捻,lim¹,令,紙
轆,luk¹,截，根，節，段,圓柱形的東西
槓,lung⁵,套,""
孖,ma¹,對，條，根,成雙成對的東西、連在一起的東西
賣,maai²,份,飯菜、炒粉、炒麵（飲食行業中用以計算份量的單位）
嘜,mak¹,筒，鐵罐,圓筒形罐頭罐
蚊,man¹,元，塊，塊錢,""
蚊雞,man¹ gai¹,塊錢,蚊鷄
味,mei²,件，種，樣,東西、事情等
味,mei²,種，道,中藥或菜餚
面,min⁶,臉,""
揇,naam³,拃,張開的大拇指和食指或中指指端間的距離
𨂾,naam³,步，大步,邁步次數
額,ngaak⁶,頭,滿頭的東西（如汗水）
眼,ngaan²,盞，口，根，眼，顆,燈、針、釘等
罌,ngaang¹,瓦罐,瓦罐裝的東西
