量詞,量詞拼音,名詞,名詞拼音,國語
把,baa2,寶劍,bou2 gim3,一把寶劍
把,baa2,柴,caai4,一綑兒柴
把,baa2,餐刀,caan1 dou1,一把餐刀
把,baa2,尺,cek3,一條尺子，一把尺子
把,baa2,鎚,ceoi4,一柄錘子，一柄鐵錘，一把錘子，一把鐵錘
把,baa2,鎚仔,ceoi4,一柄錘子，一柄鐵錘，一把錘子，一把鐵錘
把,baa2,菜,coi3,一綑兒菜
把,baa2,菜刀,coi3 dou1,一把菜刀
把,baa2,草,cou2,一綑兒草
把,baa2,火,fo2,一肚子火
把,baa2,鉸剪,gaau3 zin2,一把剪刀
把,baa2,鋸,goe3,一把鋸子
把,baa2,劍,gim3,一把劍
把,baa2,口,hau2,一張嘴
把,baa2,聲,seng1,一個聲音
把,baa2,扇,sin3,一把扇子
把,baa2,掃,sou2,一把小笤帚，一把掃帚
班,baan1,巴士,baa1 si2,一班公車
班,baan1,車,ce1,一班車
班,baan1,打工仔,daa2 gung1 zai2,一群工人，一群上班族
班,baan1,大學生,daai6 hok6 saang1,一群大學生一幫大學生
班,baan1,廢柴,fai3 caai4,一群廢物，一群沒用的人
班,baan1,friend,fen1,一群朋友
班,baan1,火車,fo2 ce1,一班火車
班,baan1,富二代,fu3 ji6 doi6,一幫富二代，一群富二代
班,baan1,機,gei1,一班機
班,baan1,高手,gou1 sau2,一群高手，一幫高手
班,baan1,觀音兵,gun1 jam1 bing1,一幫護花使者，一群護花使者
班,baan1,客機,haak3 gei1,一班客機
班,baan1,黑社會,hak1 se5 wui6,一幫黑社會
班,baan1,後生仔,hau6 saang1 zai2,一群年輕人
班,baan1,學生,hok6 saang1,一群學生一幫學生
班,baan1,好朋友,hou2 pang4 jau5,一群好朋友
班,baan1,精英,zing1 jing1,一群精英
班,baan1,政棍,zing3 gwan3,一幫政客
班,baan1,中學生,zung1 hok6 saang1,一群中學生一幫中學生
班,baan1,懶鬼,laan5 gwai2,一幫懶蟲，一群懶蟲
班,baan1,列車,lit6 ce1,一班列車
班,baan1,老散,lou5 saan2,一幫散戶
班,baan1,密友,mat6 jau5,一群密友
班,baan1,網友,mong5 jau5,一群網友，一群網民
班,baan1,女仔,neoi5 zai2,一群女孩子
班,baan1,鴨仔,ngaap3 zai2,一群鴨子
班,baan1,藝人,ngai6 jan4,一群藝人
班,baan1,朋友,pang4 jau5,一幫朋友，一群朋友
班,baan1,細路,sai3 lou6,一群小孩子
班,baan1,信徒,seon3 tou4,一群信徒
班,baan1,小學生,siu2 hok6 sang1,一群小學生一幫小學生
班,baan1,小朋友,siu2 pang4 jau5,一群小朋友
班,baan1,傻仔,so4 zai2,一群傻小子，一群傻瓜
班,baan1,同學仔,tung4 hok6 zai2,一群小同學，一群同學，一群小朋友
班,baan1,同事,tung4 si6,一群同事
班,baan1,烏合之眾,wu1 hap6 zi1 zung3,一群烏合之眾
班,baan1,人,jan4,一群人，一伙人
班,baan1,友仔,jau2 zai2,一群小子，一幫小子
包,baau1,茶葉,caa4 jip6,一包茶葉
包,baau1,煙仔,jin1 zai2,一盒香煙，一包香煙
筆,bat1,事,si6,一碼事
筆,bat1,數,sou3,一筆帳
餅,beng2,錄音帶,luk6 jam1 daai2,一盒錄音帶，一捲錄音帶
餅,beng2,嘢,je5,一萬塊錢
煲,bou1,飯,faan6,一鍋飯
煲,bou1,湯,tong1,一鍋湯
煲,bou1,糖水,tong4 seoi2,一鍋甜湯
部,bou6,𨋢,lip1,一台電梯，一部電梯，一座升降機
部,bou6,洗衣機,sai2 ji1 gei1,一台洗衣機
杯,bui1,白酒,baak6 zau2,一杯白酒
杯,bui1,拔蘭地,bat6 laan1 dei2,一杯白蘭地
杯,bui1,啤酒,be1 zau2,一杯啤酒
杯,bui1,茶,caa4,一杯茶
杯,bui1,橙汁,caang2 zap1,一杯柳橙汁，一杯橘子汁
杯,bui1,豆漿,dau6 zoeng1,一杯豆漿
杯,bui1,豆奶,dau6 naai5,一杯豆漿
杯,bui1,凍茶,dung3 caa4,一杯冰茶
杯,bui1,凍水,dung3 seoi2,一杯冷水，一杯冰水，一杯涼水，一杯涼白開
杯,bui1,凍飲,dung3 jam2,一杯冷飲
杯,bui1,伏特加,fuk6 dak6 gaa1,一杯伏特加
杯,bui1,咖啡,gaa3 fe1,一杯咖啡
杯,bui1,雞尾酒,gai1 mei5 zau2,一杯雞尾酒
杯,bui1,菊花茶,guk1 faa1 caa4,一杯菊花茶
杯,bui1,唂咕,guk1 gu2,一杯可可
杯,bui1,果汁,gwo2 zap1,一杯果汁
杯,bui1,汽水,hei3 seoi2,一杯汽水
杯,bui1,香片,hoeng1 pin2,一杯茉莉花茶
杯,bui1,可樂​,ho2 lok6,一杯可樂​
杯,bui1,紅酒,hung4 zau2,一杯紅酒
杯,bui1,酒,zau2,一杯酒
杯,bui1,礦泉水,kwong3 cyun4 seoi2,一杯礦泉水
杯,bui1,冧酒,lam1 zau2,一杯朗姆酒，一杯蘭姆酒
杯,bui1,奶茶,naai5 caa4,一杯奶茶
杯,bui1,五花茶,ng5 faa1 caa4,一杯五花茶
杯,bui1,水,seoi2,一杯水
杯,bui1,雪水,syut3 seoi2,一杯冰水
杯,bui1,威士忌,wai1 si6 gei2,一杯威士忌
杯,bui1,飮品,jam2 ban2,一杯飲料
杯,bui1,鴛鴦茶,jyun1 joeng1 caa4,一杯咖啡茶，一杯咖啡加奶茶
本,bun2,雜誌,zaap6 zi3,一本雜誌
本,bun2,書,syu1,一本書
本,bun2,護照,wu6 ziu3,一本護照
埲,bung6,板障,baan2 zoeng3,一堵板牆
埲,bung6,牆,coeng4,一堵牆，一道牆
埲,bung6,泥塵,nai6 can4,一陣塵土
𩗴,bung6,臭鍟𡃴,cau3 seng3 ceoi4,一股臭鐵鏽味兒
𩗴,bung6,𡃴,ceoi4,一股味兒，一股氣味
𩗴,bung6,火𤓓𡃴,fo2 lo3 ceoi4,一股火煙味兒
𩗴,bung6,𤓓味,lo3 mei6,一股煳味
篸,caam2,垃圾,laap6 saap3,一簸箕垃圾
篸,caam2,泥,nai4,一泥箕土
揪,cau1,香蕉,hoeng1 ziu1,一把香蕉
揪,cau1,荔枝,lai6 zi1,一嘟嚕荔枝，一束荔枝
揪,cau1,菩提子,pou4 tai4 zi2,一嘟嚕葡萄，一串葡萄
揪,cau1,鎖匙,so2 si4,一串鑰匙
揪,cau1,提子,tai4 zi2,一嘟嚕葡萄，一串葡萄
場,coeng4,病,beng6,一場病
場,coeng4,過雲雨,gwo3 wan4 jyu5,一場陣雨
齣,ceot1,大戲,daai6 hei3,一部粤劇
齣,ceot1,電影,din6 jing2,一場電影
齣,ceot1,喜劇,hei2 kek6,一部喜劇
齣,ceot1,戲,hei3,一齣戲
齣,ceot1,戲,hei3,一齣戲，一場戲，一部戲，一部電影
齣,ceot1,片,pin2,一部影片
齣,ceot1,滑稽戲,waat6 kai1 hei3,一齣滑稽戲，一場滑稽戲，一部滑稽戲
