量詞,量詞拼音,名詞,名詞拼音,國語
把,ba2,寶劍,bow2 gim3,一把寶劍
把,ba2,柴,cai4,一捆兒柴，一捆木柴
把,ba2,餐刀,can1 dow1,一把餐刀
把,ba2,尺,ceg3,一條尺子，一把尺子
把,ba2,鎚,coy4,一柄錘子，一柄鐵錘，一把錘子，一把鐵錘
把,ba2,鎚仔,coy4,一柄錘子，一柄鐵錘，一把錘子，一把鐵錘
把,ba2,秤,cenk3,一桿秤，一桿磅秤
把,ba2,菜,coi3,一捆兒菜
把,ba2,菜刀,coi3 dow1,一把菜刀
把,ba2,草,cow2,一捆兒草
把,ba2,火,fo2,一肚子火
把,ba2,鉸剪,gau3 jin2,一把剪刀
把,ba2,鋸,geo3,一把鋸子
把,ba2,劍,gim3,一把劍
把,ba2,口,haw2,一張嘴
把,ba2,聲,seng1,一個聲音
把,ba2,扇,sin3,一把扇子
把,ba2,掃,sow2,一把小笤帚，一把掃帚
班,ban1,巴士,ba1 si2,一班公車
班,ban1,車,ce1,一班車
班,ban1,打工仔,da2 gonk1 jay2,一群工人，一群上班族
班,ban1,大學生,dai6 hog6 sang1,一群大學生一幫大學生
班,ban1,廢柴,fay3 cai4,一群廢物，一群沒用的人
班,ban1,friend,fen1,一群朋友
班,ban1,火車,fo2 ce1,一班火車
班,ban1,富二代,fu3 yi6 doi6,一幫富二代，一群富二代
班,ban1,機,gey1,一班機
班,ban1,高手,gow1 saw2,一群高手，一幫高手
班,ban1,觀音兵,gun1 yamp1 benk1,一幫護花使者，一群護花使者
班,ban1,客機,hag3 gey1,一班客機
班,ban1,黑社會,hak1 se5 wui6,一幫黑社會
班,ban1,後生仔,haw6 sang1 jay2,一群年輕人
班,ban1,學生,hog6 sang1,一群學生一幫學生
班,ban1,好朋友,how2 pank4 yaw5,一群好朋友
班,ban1,精英,jenk1 yenk1,一群精英
班,ban1,政棍,jenk3 guant3,一幫政客
班,ban1,中學生,jonk1 hog6 sang1,一群中學生一幫中學生
班,ban1,懶鬼,lan5 guay2,一幫懶蟲，一群懶蟲
班,ban1,列車,lid6 ce1,一班列車
班,ban1,老散,low5 san2,一幫散戶
班,ban1,密友,mat6 yaw5,一群密友
班,ban1,網友,mong5 yaw5,一群網友，一群網民
班,ban1,女仔,noy5 jay2,一群女孩子
班,ban1,鴨仔,ngab3 jay2,一群鴨子
班,ban1,藝人,ngay6 yant4,一群藝人
班,ban1,朋友,pank4 yaw5,一幫朋友，一群朋友
班,ban1,細路,say3 low6,一群小孩子
班,ban1,信徒,sont3 tow4,一群信徒
班,ban1,小學生,siu2 hog6 sank1,一群小學生一幫小學生
班,ban1,小朋友,siu2 pank4 yaw5,一群小朋友
班,ban1,傻仔,so4 jay2,一群傻小子，一群傻瓜
班,ban1,同學仔,tonk4 hog6 jay2,一群小同學，一群同學，一群小朋友
班,ban1,同事,tonk4 si6,一群同事
班,ban1,烏合之眾,wu1 hab6 ji1 jonk3,一群烏合之眾
班,ban1,人,yant4,一群人，一伙人
班,ban1,友仔,yaw2 jay2,一群小子，一幫小子，一幫傢伙
包,bau1,茶葉,ca4 yib6,一包茶葉
包,bau1,煙仔,yin1 jay2,一盒香煙，一包香煙
筆,bat1,事,si6,一碼事
筆,bat1,數,sow3,一筆帳
餅,beng2,錄音帶,lok6 yamp1 dai2,一盒錄音帶，一捲錄音帶
餅,beng2,嘢,ye5,一萬塊錢
煲,bow1,飯,fan6,一鍋飯
煲,bow1,湯,tong1,一鍋湯
煲,bow1,糖水,tong4 soy2,一鍋甜湯
部,bow6,𨋢,lib1,一台電梯，一部電梯，一座升降機
部,bow6,洗衣機,say2 yi1 gey1,一台洗衣機
杯,bui1,白酒,bag6 jaw2,一杯白酒
杯,bui1,拔蘭地,bat6 lan1 dey2,一杯白蘭地
杯,bui1,啤酒,be1 jaw2,一杯啤酒
杯,bui1,茶,ca4,一杯茶
杯,bui1,橙汁,cang2 jap1,一杯柳橙汁，一杯橘子汁
杯,bui1,豆漿,daw6 jeong1,一杯豆漿
杯,bui1,豆奶,daw6 nai5,一杯豆漿
杯,bui1,凍茶,donk3 ca4,一杯冰茶
杯,bui1,凍水,donk3 soy2,一杯冷水，一杯冰水，一杯涼水，一杯涼白開
杯,bui1,凍飲,donk3 yamp2,一杯冷飲
杯,bui1,伏特加,fok6 dak6 ga1,一杯伏特加
杯,bui1,咖啡,ga3 fe1,一杯咖啡
杯,bui1,雞尾酒,gay1 mey5 jaw2,一杯雞尾酒
杯,bui1,菊花茶,gok1 fa1 ca4,一杯菊花茶
杯,bui1,唂咕,gok1 gu2,一杯可可
杯,bui1,果汁,guo2 jap1,一杯果汁
杯,bui1,汽水,hey3 soy2,一杯汽水
杯,bui1,香片,heong1 pin2,一杯茉莉花茶
杯,bui1,可樂​,ho2 log6,一杯可樂​
杯,bui1,紅酒,honk4 jaw2,一杯紅酒
杯,bui1,酒,jaw2,一杯酒
杯,bui1,礦泉水,kuong3 ceun4 soy2,一杯礦泉水
杯,bui1,冧酒,lamp1 jaw2,一杯朗姆酒，一杯蘭姆酒
杯,bui1,奶茶,nai5 ca4,一杯奶茶
杯,bui1,五花茶,ng5 fa1 ca4,一杯五花茶
杯,bui1,水,soy2,一杯水
杯,bui1,雪水,seud3 soy2,一杯冰水
杯,bui1,威士忌,way1 si6 gey2,一杯威士忌
杯,bui1,飮品,yamp2 bant2,一杯飲料
杯,bui1,鴛鴦茶,yeun1 yeong1 ca4,一杯咖啡茶，一杯咖啡加奶茶
本,bun2,雜誌,jab6 ji3,一本雜誌
本,bun2,書,seu1,一本書
本,bun2,護照,wu6 jiu3,一本護照
埲,bonk6,板障,ban2 jeong3,一堵板牆
埲,bonk6,牆,ceong4,一堵牆，一道牆
埲,bonk6,泥塵,nay6 cant4,一陣塵土
𩗴,bonk6,臭鍟𡃴,caw3 seng3 coy4,一股臭鐵鏽味兒
𩗴,bonk6,𡃴,coy4,一股味兒，一股氣味
𩗴,bonk6,火𤓓𡃴,fo2 lo3 coy4,一股火煙味兒
𩗴,bonk6,𤓓味,lo3 mey6,一股煳味
篸,cam2,垃圾,lab6 sab3,一簸箕垃圾
篸,cam2,泥,nay4,一泥箕土
揪,caw1,香蕉,heong1 jiu1,一把香蕉
揪,caw1,荔枝,lay6 ji1,一嘟嚕荔枝，一束荔枝
揪,caw1,菩提子,pow4 tay4 ji2,一嘟嚕葡萄，一串葡萄
揪,caw1,鎖匙,so2 si4,一串鑰匙
揪,caw1,提子,tay4 ji2,一嘟嚕葡萄，一串葡萄
場,ceong4,病,beng6,一場病
場,ceong4,過雲雨,guo3 want4 yeu5,一場陣雨
齣,cot1,大戲,dai6 hey3,一部粵劇
齣,cot1,電影,din6 yenk2,一場電影
齣,cot1,喜劇,hey2 keg6,一部喜劇
齣,cot1,戲,hey3,一齣戲
齣,cot1,戲,hey3,一齣戲，一場戲，一部戲，一部電影
齣,cot1,片,pin2,一部影片
齣,cot1,滑稽戲,wad6 kay1 hey3,一齣滑稽戲，一場滑稽戲，一部滑稽戲
齣,cot1,粵劇,yeud6 keg6,一部粵劇
匙羹,ci4 gank1,糖,tong4,一勺糖
秤,cenk3,鎖匙,so2 si4,一嘟嚕鑰匙
埕,cenk4,醋,cow3,一瓶醋，一罈子醋
埕,cenk4,酒,jaw2,一罈酒，一罈子酒
埕,cenk4,蜜糖,mat6 tong4,一罐蜂蜜
埕,cenk4,紹興酒,siu6 henk1 jaw2,一罈紹興酒，一罈子紹興酒
埕,cenk4,桐油,tonk4 yaw4,一瓶桐油，一罈子桐油
串,ceun3,炮仗,pau3 jeong2,一掛鞭炮，一掛爆竹，一掛炮竹，一串鞭炮，一串爆竹，一串炮竹
打,da1,啤酒,be1 jaw2,一打啤酒
打,da1,襪,mat6,一打襪子
打,da1,鉛筆,yeun4 bat1,一打鉛筆
擔,dam3,柴,cai4,一挑柴
擔,dam3,菜,coi3,一挑兒菜
擔,dam3,米,may3,一挑米
擔,dam3,泥,nay4,一挑土
啖,dam6,啤酒,be1 jaw2,一口啤酒
啖,dam6,茶,ca4,一口茶
啖,dam6,橙汁,cang2 jap1,一口橙汁，一口橘子汁
啖,dam6,菜,coi3,一口菜
啖,dam6,豆漿,daw6 jeong1,一口豆漿
啖,dam6,飯,fan6,一口飯
啖,dam6,果汁,guo2 jap1,一口果汁
啖,dam6,口水,haw2 soy2,一口口水
啖,dam6,氣,hey3,一口氣
啖,dam6,汽水,hey3 soy2,一口汽水
啖,dam6,可樂,ho2 log6,一口可樂
啖,dam6,空氣,honk1 hey3,一口空氣
啖,dam6,酒,jaw2,一口酒
啖,dam6,粥,jok1,一口稀飯
啖,dam6,綠茶,lok6 ca4,一口綠茶
啖,dam6,麵包,min6 bau1,一口麵包
啖,dam6,奶,nai5,一口奶
啖,dam6,奶茶,nai5 ca4,一口奶茶
啖,dam6,檸茶,nenk4 ca4,一口檸檬茶
啖,dam6,濃茶,nonk4 ca4,一口濃茶
啖,dam6,三文治,sam1 mant4 ji6,一口三明治
啖,dam6,新鮮空氣,sant1 sin1 honk1 hey3,一口新鮮空氣
啖,dam6,錫,seg3,一個吻
啖,dam6,水,soy2,一口水
啖,dam6,湯,tong1,一口湯
啖,dam6,煙,yin1,一口煙
啖,dam6,熱茶,yid6 ca4,一口熱茶
啖,dam6,肉,yok6,一口肉
啖,dam6,怨氣,yeun3 hey3,一口怨氣
單,dan1,爆炸案,bau3 ja3 ngon3,一件爆炸案，一項爆炸案，一宗爆炸案
單,dan1,悲劇,bey1 keg6,一場悲劇，一齣悲劇
單,dan1,綁架案,bong2 ga3 ngon3,一件綁架案，一項綁架案，一宗綁架案
單,dan1,慘劇,cam2 keg6,一場慘劇，一齣慘劇
單,dan1,慘案,cam2 on3,一件慘案，一項慘案，一宗慘案
單,dan1,醜聞,caw2 mant4,一件醜聞，一樁醜聞，一項醜聞
單,dan1,趣聞,coy3 mant4,一件趣聞，一樁趣聞
單,dan1,槍擊案,ceong1 gek1 ngon3,一件槍擊案，一項槍擊案，一宗槍擊案
單,dan1,大案,dai6 ngon3,一件大事，一個大案子
