量詞,量詞拼音,名詞,名詞拼音,國語
把,bã,寶劍,bõw gîm,一把寶劍
把,bã,柴,cai,一捆兒柴，一捆木柴
把,bã,餐刀,cän döw,一把餐刀
把,bã,尺,cêg,一條尺子，一把尺子
把,bã,鎚,coy,一柄錘子，一柄鐵錘，一把錘子，一把鐵錘
把,bã,鎚仔,coy,一柄錘子，一柄鐵錘，一把錘子，一把鐵錘
把,bã,秤,cênk,一桿秤，一桿磅秤
把,bã,菜,côi,一捆兒菜
把,bã,菜刀,côi döw,一把菜刀
把,bã,草,cõw,一捆兒草
把,bã,火,fõ,一肚子火
把,bã,鉸剪,gâu jĩn,一把剪刀
把,bã,鋸,geô,一把鋸子
把,bã,劍,gîm,一把劍
把,bã,口,hãw,一張嘴
把,bã,聲,sëng,一個聲音
把,bã,扇,sîn,一把扇子
把,bã,掃,sõw,一把小笤帚，一把掃帚
班,bän,巴士,bä sĩ,一班公車
班,bän,車,cë,一班車
班,bän,打工仔,dã gönk jãy,一群工人，一群上班族
班,bän,大學生,dài hòg säng,一群大學生一幫大學生
班,bän,廢柴,fây cai,一群廢物，一群沒用的人
班,bän,friend,fën,一群朋友
班,bän,火車,fõ cë,一班火車
班,bän,富二代,fû yì dòi,一幫富二代，一群富二代
班,bän,機,gëy,一班機
班,bän,高手,göw sãw,一群高手，一幫高手
班,bän,觀音兵,gün yämp bënk,一幫護花使者，一群護花使者
班,bän,客機,hâg gëy,一班客機
班,bän,黑社會,häk sé wùi,一幫黑社會
班,bän,後生仔,hàw säng jãy,一群年輕人
班,bän,學生,hòg säng,一群學生一幫學生
班,bän,好朋友,hõw pank yáw,一群好朋友
班,bän,精英,jënk yënk,一群精英
班,bän,政棍,jênk guânt,一幫政客
班,bän,中學生,jönk hòg säng,一群中學生一幫中學生
班,bän,懶鬼,lán guãy,一幫懶蟲，一群懶蟲
班,bän,列車,lìd cë,一班列車
班,bän,老散,lów sãn,一幫散戶
班,bän,密友,màt yáw,一群密友
班,bän,網友,móng yáw,一群網友，一群網民
班,bän,女仔,nóy jãy,一群女孩子
班,bän,鴨仔,ngâb jãy,一群鴨子
班,bän,藝人,ngày yant,一群藝人
班,bän,朋友,pank yáw,一幫朋友，一群朋友
班,bän,細路,sây lòw,一群小孩子
班,bän,信徒,sônt tow,一群信徒
班,bän,小學生,sĩu hòg sänk,一群小學生一幫小學生
班,bän,小朋友,sĩu pank yáw,一群小朋友
班,bän,傻仔,so jãy,一群傻小子，一群傻瓜
班,bän,同學仔,tonk hòg jãy,一群小同學，一群同學，一群小朋友
班,bän,同事,tonk sì,一群同事
班,bän,烏合之眾,wü hàb jï jônk,一群烏合之眾
班,bän,人,yant,一群人，一伙人
班,bän,友仔,yãw jãy,一群小子，一幫小子，一幫傢伙
包,bäu,茶葉,ca yìb,一包茶葉
包,bäu,煙仔,yïn jãy,一盒香煙，一包香煙
筆,bät,事,sì,一碼事
筆,bät,數,sôw,一筆帳
餅,bẽng,錄音帶,lòk yämp dãi,一盒錄音帶，一捲錄音帶
餅,bẽng,嘢,yé,一萬塊錢
煲,böw,飯,fàn,一鍋飯
煲,böw,湯,töng,一鍋湯
煲,böw,糖水,tong sõy,一鍋甜湯
部,bòw,𨋢,lïb,一台電梯，一部電梯，一座升降機
部,bòw,洗衣機,sãy yï gëy,一台洗衣機
杯,büi,白酒,bàg jãw,一杯白酒
杯,büi,拔蘭地,bàt län dẽy,一杯白蘭地
杯,büi,啤酒,bë jãw,一杯啤酒
杯,büi,茶,ca,一杯茶
杯,büi,橙汁,cãng jäp,一杯柳橙汁，一杯橘子汁
杯,büi,豆漿,dàw jeöng,一杯豆漿
杯,büi,豆奶,dàw nái,一杯豆漿
杯,büi,凍茶,dônk ca,一杯冰茶
杯,büi,凍水,dônk sõy,一杯冷水，一杯冰水，一杯涼水，一杯涼白開
杯,büi,凍飲,dônk yãmp,一杯冷飲
杯,büi,伏特加,fòk dàk gä,一杯伏特加
杯,büi,咖啡,gâ fë,一杯咖啡
杯,büi,雞尾酒,gäy méy jãw,一杯雞尾酒
杯,büi,菊花茶,gök fä ca,一杯菊花茶
杯,büi,唂咕,gök gũ,一杯可可
杯,büi,果汁,guõ jäp,一杯果汁
