量詞,拼音,國語,用法
把,bá,個,聲音（普通話常省略）
把,bá,張,嘴巴
把,bá,綑兒,""
班,bāan,群，伙,人
筆,bāt,碼,事情
筆,bāt,筆,款項、生意等
餅,béng,盒，捲,專指錄音帶及錄像帶
餅,béng,萬,塊錢（俗，數詞）
煲,bōu,鍋,鍋子裡裝的東西
本,bún,本,書、雜誌等出版物
埲,buhng,堵，面,牆
𩗴,buhng,股,氣味
篸,cháam,簸箕，泥箕,""
層,chàhng,步，點,事情、事項
揪,chāu,串，嘟嚕，袋,""
場,cheùhng,場,""
齣,cheūt,齣，場,戲劇、電影等
秤,ching,串，掛，袋，嘟嚕,""
打,dā,打,指十二個
擔,daam,挑，擔，挑兒,""
啖,daahm,口,""
單,dāan,件，樁，起，號,""
沓,daahp,層，座,樓房
沓,daahp,疊，摞，迭，沓,多層的東西
笪,daat,塊，個,地方
底,dái,整塊,未切開的整塊糕點
躉,dán,座，棟,樓房等建築物
兜,dāu,盆，個，條,""
蔸,dāu,叢,叢的植株
蔸,dāu,條,人、魚等
蔸,dāu,棵,幼小的植物
竇,dau,窩，家,""
頂,déng,頂,帽子
朵,déu,朵,花
對,deui,雙,""
滴,dīk,滴,液體下滴數量
丁,dīng,個,""
碟,díp,盤,盤裝物
度,douh,扇，道，座,門、橋
渡,douh,班,""
篤,dūk,泡,糞便、口水、痰等
戙,duhng,摞,""
段,dyuhn,段,長條物分成若干部分、具有延續性質事物段落
塊,faai,個,臉、面（普通話常省略）
番,fāan,番,種、樣、種類
份,fahn,份,定量事物或整體中的一部分
份,fahn,為人,人的品性、品質、性格等
忽,fāt,塊，小塊,唿
伙,fó,戶，家,住戶
火,fó,燭，支光,燈泡
夫,fū,塊,土地
副,fu,台，套,設備、機器等
幅,fūk,片，塊,地產
架,ga,輛，台，部,車輛等
屆,gaai,屆,定期舉行的會議或活動、具有某種身分或擔任某種職務期間
間,gāan,所，棟，家，間，座,房屋等建築物
嚿,gauh,塊，團,成塊、成團的東西
嚿,gauh,百元，百塊,錢
件,gihn,件,衣服、事情等
件,gihn,塊,點心、餅乾等
個,go,個,""
個,go,塊，塊錢，元,錢
個,go,面，塊，把,""
橛,gyuht,截，段,分成數段的物品
坎,hám,門,炮
口,háu,根，個，枚,煙、爆竹等
殼,hok,瓢，勺，舀子，勺子,勺子容裝物
拃,jah,把,手所能盈握數量
紮,jaat,束，捆，綁，包紮,""
浸,jam,層,""
朕,jahm,股，陣,氣味或風
執,jāp,撮，把,成叢的毛髮或野草等、手所能盈握數量
隻,jek,隻，個，頭，種，首，支,動物、人、歌、故事、單一物品等
樽,jeūn,瓶,""
張,jeūng,塊,指塊錢
張,jeūng,張,某些可張開的東西、平面物品、傢俱等
張,jeūng,把,刀
支,jī,面，根，瓶,瓶裝飲料、筒裝物品、旗幟等
座,joh,座，棟，幢，所,樓房、房屋等建筑物
造,jouh,茬,同一塊地上，作物種植或生長的次數
磚,jyūn,塊,""
卡,kā,節,車皮、車廂
楷,káai,瓣，瓣兒,柑桔瓣兒
藭,kūng,嘟嚕，包,果子、成穗的糧食等、玉米的一包
纊掕,kwang lang,串，嘟嚕,大小不一的串
㨆,lahm,摞，摞子,堆砌的東西
掕,lang,串，嘟嚕,數目眾多的一堆東西
粒,lāp,小時,""
粒,lāp,顆，粒,""
輪,leùhn,張,嘴
輪,leùhn,次，頓,""
捻,līm,令,紙
轆,lūk,截，根，節，段,圓柱形的東西
槓,lúhng,套,""
孖,mā,對，條，根,""
賣,máai,份,（飲食行業中用以計算份量的單位）飯菜、炒粉、炒麵
嘜,māk,筒，鐵罐,圓筒形罐頭罐
蚊,mān,元，塊，塊錢,""
蚊雞,mān gāi,塊錢,蚊鷄
味,méi,件，種，樣,東西、事情等
味,méi,種，道,中藥或菜餚
面,mihn,臉,""
揇,naam,拃,張開的大拇指和食指或中指指端間的距離
揇,naam,步，大步,""
額,ngaahk,頭,""
眼,ngáan,盞，口，根，眼，顆,燈、針、釘等
罌,ngāang,瓦罐,""
安士,ngōn sí,盎斯,十六分之一磅
棚,pàahng,排，把,牙齒、骨頭、渣滓等
坺,paaht,攤，灘，泡,軟爛或糊狀的東西
泡,pāau,泡，肚子,怒氣、樣子、表情、涕、水、腮幫子、含在眼中的淚水等
泡,pāau,（常省略）,腮幫子或氣等抽象詞
啤,pē,雙，對，對兒,情侶、夫婦、打牌的搭檔、點數相同的牌
皮,pèih,萬,塊錢（俗，數詞）
pack,pēk,包，捆,""
樖,pō,棵，株,草木等植物
鋪,pōu,盤，回，局，股，種,賭博、下棋等的次數
𢱢,saak,邊，塊,瓜、柚子等的一塊
世,sai,生，輩子,""
手,sáu,種，下,""
勺,seuk,提,打酒、油等的器具所舀的量
梳,sō,串，排，梭，把,成排的東西
氹,táhm,坑,""
頭,tàuh,個,家庭、整個家、家中事務
停,tíng,種，款，樣,品種、式樣；用於人或物
條,tiùh,個,（貶）指人
條,tiùh,根，把，條,條狀物
堂,tòhng,十里,""
堂,tòhng,塊，頂，架，座，張，道,床、窗簾、樓梯等面積較大的物品
堂,tòhng,節,課
套,tou,場，部,""
筒,tùhng,管，個,管裝或筒形的東西
脫,tyut,套，身,衣服
圍,wàih,席，桌,酒宴
watt,wōk,瓦，瓦特,電功率單位
鑊,wohk,件，宗,事情、禍事、麻煩事
鑊,wohk,鍋，頓,鐵鍋裡裝的東西
