量詞,拼音,國語,用法
把,´ba,個,聲音（普通話常省略）
把,´ba,張,嘴巴
把,´ba,捆，捆兒,成束的東西
班,'ban,群，伙,人
筆,'bɐt,碼,事情
筆,'bɐt,筆,款項、生意等
餅,´bɛŋ,盒，卷,專指錄音帶及錄像帶
餅,´bɛŋ,萬,塊錢（俗，數詞）
煲,'bou,鍋,鍋子裡裝的東西
本,´bun,本,書、雜誌等出版物
埲,_bʊŋ,堵，面,牆
𩗴,_bʊŋ,股,氣味
篸,´tsam,簸箕，泥箕,裝進簸箕裡的東西
層,ˌtsɐŋ,步，點,事情、事項
揪,'tsɐu,串，束，袋，掛，嘟嚕,成串的東西；手提袋裝著的東西
場,ˌtsœŋ,場,活動
齣,'tsœt,齣，場,戲劇、電影等
秤,¯tsɪŋ,串，掛，袋，嘟嚕,成串的東西
打,'da,打,指十二個
擔,¯dam,挑，擔，挑兒,成挑的東西
啖,_dam,口,吃進口裡的東西、吸入的空氣等
單,'dan,件，樁，起，號,事情
沓,_dap,層，座,樓房
沓,_dap,疊，摞，迭，沓,多層的東西
笪,¯dat,塊，個,地方
底,´dɐi,塊，大塊，整塊,未切開的整塊糕點
躉,´dɐn,座，棟,樓房等建築物
兜,'dɐu,盆，個，條,盆裝物
蔸,'dɐu,叢,叢的植株
蔸,'dɐu,條,人、魚等
蔸,'dɐu,棵,幼小的植物
竇,¯dɐu,窩，家,窩巢、巢穴
頂,´dɛŋ,頂,帽子
朵,´dœ,朵,花
對,¯dœy,雙,成對的東西
滴,_dik,滴,液體下滴數量
丁,'dɪŋ,個,人
碟,_dip,盤,盤裝的東西
袋,_dɔi,袋,袋裝的東西
度,_dou,扇，道，座,門、橋
渡,_dou,班,船
篤,'dʊk,泡,糞便、口水、痰等
棟,¯dʊŋ,棟,房屋建築物
戙,_dʊŋ,摞,重疊放置的或堆在一起的東西
段,_dyn,段,長條物分成若干部分、具有延續性質事物段落
塊,¯fai,個,臉、面（普通話常省略）
番,'fan,番,種、樣、種類
份,_fɐn,份,定量事物或整體中的一部分
份,_fɐn,為人,人的品性、品質、性格等
忽,'fɐt,塊，小塊,小塊的東西
飛,'fei,發,子彈
伙,´fɔ,戶，家,住戶
火,´fɔ,燭，支光,燈泡
夫,'fu,塊,土地
副,¯fu,台，套,設備、機器等
幅,'fʊk,片，塊,地產
架,¯ga,輛，台，部,車輛等
屆,¯gai,屆,定期舉行的會議或活動、具有某種身分或擔任某種職務期間
間,'gan,所，棟，家，間，座,房屋等建築物
嚿,_gɐu,塊，團,成塊、成團的東西
嚿,_gɐu,百元，百塊,錢
嚿溜,_gɐu _lɐu,團，塊,成團的、臃腫的東西
件,_gin,件,衣服、事情等
件,_gin,塊,點心、餅乾等
個,¯gɔ,塊，塊錢，元,錢
個,¯gɔ,面，塊，把、座、個,心、井、鐘、錶、鏡子、鎚仔等
個,¯gɔ,（常省略）,心
橛,_gyt,截，段,分成數段的物品
坎,´hɐm,門,炮
口,´hɐu,根，個，枚,煙、爆竹等
殼,¯hɔk,瓢，勺，舀子，勺子,勺子容裝物
拃,_dza,把,手所能盈握數量
紮,¯dzat,束，捆，綁，包紮,捆在一起的東西
劑,'dzɐi,劑,經過調配後的藥物
浸,¯dzɐm,層,重疊、積累的東西
朕,_dzɐm,股，陣,氣味或風
執,'dzɐp,撮，把,成叢的毛髮或野草等、手所能盈握數量
隻,¯dzɛk,隻，個，頭，種，首，支,動物、人、歌、故事、單一物品等
樽,'dzœn,瓶,瓶裝的東西
張,'dzœŋ,塊,指塊錢
張,'dzœŋ,張,某些可張開的東西、平面物品、傢俱等
張,'dzœŋ,把,刀
支,'dzi,面，根，瓶,瓶裝飲料、筒裝物品、旗幟等
座,_dzɔ,座，棟，幢，所,樓房、房屋等建築物
造,_dzou,茬,同一塊地上，作物種植或生長的次數
磚,'dzyn,塊,豆腐等方形的東西
卡,'ka,節,車皮、車廂
楷,´kai,瓣，瓣兒,柑桔瓣兒
藭,'kʊŋ,嘟嚕，包,果子、成穗的糧食等、玉米的一包
纊掕,¯kwɐŋ ¯lɐŋ,串，嘟嚕,大小不一的串
㨆,_lɐm,摞，摞子,堆砌的東西
掕,¯lɐŋ,串，嘟嚕,數目眾多的一堆東西
粒,'lɐp,個,小時，鐘頭
粒,'lɐp,顆，粒,顆粒狀的東西、圓形的東西
輪,ˌlœn,張,嘴
輪,ˌlœn,次，頓，下，趟,行為的次數
捻,'lim,令,紙
轆,'lʊk,截，根，節，段,圓柱形的東西
槓,ˏlʊŋ,套,計謀、點子（貶）
孖,'ma,對，條，根,成雙成對的東西、連在一起的東西
賣,´mai,份,飯菜、炒粉、炒麵（飲食行業中用以計算份量的單位）
嘜,'mɐk,筒，鐵罐,圓筒形罐頭罐
蚊,'mɐn,元，塊，塊錢,錢
蚊雞,'mɐn 'gɐi,塊錢,蚊鷄
味,´mei,件，種，樣,東西、事情等
味,´mei,種，道,中藥或菜餚
面,_min,面,鏡子等平面的東西
揇,¯nam,拃,張開的大拇指和食指或中指指端間的距離
𨂾,¯nam,步，大步,邁步次數
額,_ŋak,頭,滿頭的東西（如汗水）
眼,´ŋan,盞，口，根，眼，顆,燈、針、釘等
罌,'ŋaŋ,瓦罐,瓦罐裝的東西
安士,'ŋɔn ´si,盎斯,十六分之一磅
棚,ˌpaŋ,排，把,牙齒、骨頭、渣滓等
坺,_pat,攤，灘，泡,軟爛或糊狀的東西
泡,'pau,泡，肚子,怒氣、樣子、表情、涕、水、腮幫子、含在眼中的淚水等
泡,'pau,（常省略）,腮幫子或氣等抽象詞
啤,'pɛ,雙，對，對兒,情侶、夫婦、打牌的搭檔、點數相同的牌
皮,ˌpei,萬,塊錢（俗，數詞）
pack,'pɛk,包，捆,包裝的東西
樖,'pɔ,棵，株,草木等植物
鋪,'pou,盤，回，局，股，種,賭博、下棋等的次數
𢱢,¯sak,邊，塊,瓜、柚子等的一塊
世,¯sɐi,生，輩子,人生
手,´sɐu,種，下，把，筆，件,手段、本事、事情
首,´sɐu,首,詩、詞、歌曲等
勺,¯sœk,提,打酒、油等的器具所舀的量
梳,'sɔ,串，排，梭，把,成排的東西
氹,ˏtɐm,坑,坑裡面積存的水、泥等
頭,ˌtɐu,個,家庭、整個家、家中事務
停,´tɪŋ,種，款，樣,品種、式樣（可指人或物）
條,ˌtiu,個,人（貶）
條,ˌtiu,根，把，條,條狀物
堂,ˌtɔŋ,十里,路
堂,ˌtɔŋ,塊，頂，架，座，張，道,床、窗簾、樓梯等面積較大的物品
堂,ˌtɔŋ,節,課
套,¯tou,場，部,電影、劇集等影視戲劇
筒,ˌtʊŋ,管，個,管裝或筒形的東西
脫,¯tyt,套，身,衣服
脫,¯tyt,批，撥兒，輩，代,來往的人、同一代人
位,´wɐi,老師，客人,人（敬）
圍,ˌwɐi,席，桌,酒宴
watt,'wɔk,瓦，瓦特,電功率單位
鑊,_wɔk,件，宗,事情、禍事、麻煩事
鑊,_wɔk,鍋，頓,鐵鍋裡裝的東西
壺,ˌwu,壺,茶、水等壺裝的東西
樣,_jœŋ,個，件,東西、物件、事情
